,ID,Name,Age,OVA,Nationality,Club,BP,POT,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,Curve,FK Accuracy,Long Passing,Ball Control,Acceleration,Sprint Speed,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Long Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,Standing Tackle,Sliding Tackle,PAC,SHO,PAS,DRI,DEF,PHY
3703,200647,J. Iličić,32,84,Slovenia,Atalanta,CAM,84,82,85,58,86,83,88,85,85,74,88,71,69,71,84,66,88,34,69,74,89,58,46,85,87,78,80,53,32,26,70,86,84,85,43,68
11282,239053,F. Valverde,21,83,Uruguay,Real Madrid,CM,90,66,70,59,85,70,79,70,66,84,82,82,89,76,84,69,80,59,86,79,81,81,81,76,80,59,82,79,80,76,86,74,78,79,77,80
9258,231443,O. Dembélé,23,83,France,FC Barcelona,LM,89,81,75,43,78,76,89,82,64,76,84,93,92,89,78,81,83,58,68,51,76,54,36,77,76,75,80,42,30,33,92,77,77,87,36,56
7269,222665,M. Ødegaard,21,83,Norway,Real Madrid,CAM,89,84,74,52,83,73,86,81,83,81,85,80,77,85,74,83,76,46,80,55,78,64,65,77,87,63,76,65,49,51,78,75,84,85,58,63
5524,211688,Gayà,25,83,Spain,Valencia CF,LWB,88,81,61,58,82,58,79,80,49,75,82,81,86,81,83,79,62,53,84,63,59,76,80,77,75,52,76,79,82,84,84,61,78,80,79,70
8464,228618,F. Mendy,25,83,France,Real Madrid,LB,88,78,63,72,80,50,80,72,35,78,78,91,92,80,82,78,69,78,88,79,64,82,79,80,75,49,78,77,81,80,92,64,76,79,78,82
10202,235212,A. Hakimi,21,83,Morocco,Inter,RM,88,81,73,63,81,60,84,68,55,72,83,93,95,77,81,74,77,75,86,73,63,72,78,75,74,46,79,67,74,76,94,70,76,82,72,76
8785,229880,A. Wan-Bissaka,22,83,England,Manchester United,RB,88,74,44,58,74,43,82,68,45,56,77,84,88,85,82,73,70,62,79,71,46,78,83,69,64,56,76,82,85,90,86,51,68,80,82,74
7785,225100,J. Gomez,23,83,England,Liverpool,CB,88,69,26,74,78,24,67,41,29,65,73,78,85,65,83,66,41,76,74,83,26,81,84,51,60,26,74,83,85,82,82,30,66,69,83,80
8014,225953,S. Bergwijn,22,83,Netherlands,Tottenham Hotspur,CAM,88,78,77,60,84,75,87,78,66,62,85,88,87,79,79,90,84,68,79,78,83,50,34,78,80,68,77,52,28,26,87,79,78,85,39,72
62,5003,Cafu,37,83,Brazil,Milan,CF,88,85,22,81,82,,82,,61,59,85,82,79,,69,,61,,91,55,59,70,90,83,,92,,89,85,,80,46,75,81,87,69
5295,210413,A. Romagnoli,25,83,Italy,Milan,CB,87,36,30,78,75,28,68,36,24,71,76,68,72,59,80,53,64,79,71,79,46,85,86,31,45,34,76,88,86,82,70,40,56,69,85,78
5426,211117,D. Alli,24,83,England,Tottenham Hotspur,CAM,87,68,82,81,83,79,84,75,68,81,85,68,76,75,84,68,78,71,89,73,79,81,72,86,84,76,87,70,70,63,72,80,79,83,71,79
8628,229261,D. Zakaria,23,83,Switzerland,Borussia Mönchengladbach,CDM,87,68,66,67,83,35,78,64,46,76,80,81,85,68,84,64,74,65,80,87,63,89,81,65,76,38,84,84,84,80,83,64,75,77,81,85
9061,230666,Gabriel Jesus,23,83,Brazil,Manchester City,ST,87,66,85,77,77,77,86,76,54,66,86,87,83,91,87,90,81,78,79,65,76,73,32,87,77,75,81,53,30,28,85,82,72,87,42,71
35,1615,L. Thuram,35,83,France,FC Barcelona,CB,87,67,21,84,71,,63,,43,55,78,78,73,,85,,44,,71,90,27,87,90,86,,89,,82,85,,75,34,63,72,85,84
7009,221363,D. van de Beek,23,83,Netherlands,Manchester United,CM,87,67,79,69,82,80,76,78,65,79,85,67,73,72,85,70,83,71,92,76,80,75,73,84,82,63,85,72,74,68,70,80,78,78,72,80
8325,227928,Nélson Semedo,26,83,Portugal,Wolverhampton Wanderers,RWB,86,76,50,58,76,42,82,61,30,65,81,91,93,87,82,81,74,79,92,66,60,81,81,72,62,38,79,77,81,80,92,57,69,82,77,76
4586,205600,S. Umtiti,26,83,France,FC Barcelona,CB,86,61,51,79,78,65,64,72,62,73,77,65,67,61,80,66,83,85,65,85,70,82,84,51,58,61,82,83,84,83,66,62,69,69,83,79
4785,207410,M. Kovačić,26,83,Croatia,Chelsea,CM,86,73,61,42,90,76,88,79,70,82,89,78,73,87,82,84,79,76,79,63,75,77,74,72,84,59,81,70,73,66,75,69,83,88,69,70
5319,210514,João Cancelo,26,83,Portugal,Manchester City,RWB,86,83,58,68,81,62,85,82,69,75,84,87,85,78,81,78,80,72,89,60,68,73,76,78,78,46,82,78,80,80,86,65,79,83,77,70
402,135567,Nilmar,26,83,Brazil,Villarreal CF,ST,86,70,85,78,76,81,87,76,59,51,83,90,93,86,82,70,77,61,68,59,71,44,24,81,74,75,,11,18,15,92,80,70,85,23,58
6702,219693,Diego Carlos,27,83,Brazil,Sevilla FC,CB,85,35,32,79,76,34,65,47,71,74,71,78,76,68,82,55,73,82,74,86,57,85,84,52,63,41,75,83,82,81,77,47,63,67,82,83
4456,204923,M. Sabitzer,26,83,Austria,RB Leipzig,CAM,85,74,81,60,83,82,79,75,78,79,82,76,83,75,86,80,88,71,84,76,88,77,64,83,83,65,80,69,64,59,80,83,80,80,65,78
3219,197061,J. Matip,28,83,Cameroon,Liverpool,CB,84,54,36,84,77,50,69,63,22,74,72,51,67,51,84,42,66,75,69,80,48,84,86,48,72,42,79,85,86,80,60,46,68,68,85,78
6465,216594,N. Fekir,26,83,France,Real Betis,CAM,84,79,82,49,84,77,88,83,79,77,87,80,79,81,79,91,84,64,79,81,83,79,34,83,82,74,89,34,42,30,79,82,81,87,38,79
2854,192774,K. Manolas,29,83,Greece,Napoli,CB,84,27,25,80,60,16,54,30,10,61,65,80,83,67,81,60,40,86,69,81,12,86,86,25,22,26,83,85,85,87,82,25,42,60,85,79
4472,205069,Juan Bernat,27,83,Spain,Paris Saint-Germain,LB,84,85,65,57,82,61,83,78,51,73,83,82,81,85,83,88,64,74,79,57,62,75,79,78,77,53,78,75,81,78,81,64,79,83,76,67
1163,170890,B. Matuidi,33,83,France,Inter Miami,CDM,83,74,60,68,80,72,76,60,52,77,77,76,75,83,81,79,78,84,85,73,67,86,83,72,74,56,82,85,83,85,75,66,75,77,82,79
6461,216547,Rafa,27,83,Portugal,Portugal,LM,83,78,74,46,77,68,88,78,56,62,85,93,94,90,83,89,75,64,77,40,71,47,58,83,78,59,81,52,47,39,94,73,74,87,50,52
1244,172871,J. Vertonghen,33,83,Belgium,Belgium,CB,83,70,54,78,77,52,70,66,70,73,77,55,61,56,82,60,80,83,72,79,66,84,85,56,66,66,81,86,85,86,58,62,72,71,85,78
1090,169416,C. Vela,31,83,Mexico,Los Angeles FC,RW,83,78,85,67,81,82,84,84,71,66,85,80,80,81,83,81,76,65,74,67,84,57,37,84,81,72,83,31,22,14,80,82,78,84,31,67
3404,198717,W. Zaha,27,83,Ivory Coast,Crystal Palace,LM,83,76,77,47,75,64,90,63,51,65,86,88,92,87,75,79,81,58,75,77,70,72,32,76,76,72,80,30,34,32,90,75,72,87,34,75
2071,186345,K. Trippier,29,83,England,Atlético Madrid,RB,83,86,48,74,80,58,74,86,82,79,83,74,72,73,81,77,75,76,88,64,70,70,79,73,80,66,77,77,83,81,73,60,81,77,79,72
1294,173731,G. Bale,30,83,Wales,Tottenham Hotspur,RW,83,87,81,84,80,85,80,90,87,79,83,86,89,78,79,65,90,82,69,77,87,65,59,83,79,76,85,54,55,52,88,84,82,80,58,73
3499,199434,D. Tadić,31,83,Serbia,Ajax,CF,83,84,83,66,85,79,84,85,76,80,87,67,66,77,81,84,78,59,86,75,76,56,37,83,87,83,86,48,34,26,66,80,84,84,41,73
4473,205070,Portu,28,83,Spain,Real Sociedad,RW,83,80,82,77,83,72,84,80,64,79,81,90,90,81,78,81,82,75,89,73,75,82,55,80,82,53,74,55,61,59,90,79,81,82,59,79
2238,188152,Oscar,28,83,Brazil,Shanghai SIPG FC,CAM,83,81,78,59,86,72,81,77,78,85,83,83,73,88,80,86,80,75,84,58,82,56,49,82,80,70,79,66,56,52,78,79,83,83,58,65
1558,178562,E. Banega,32,83,Argentina,Al Shabab,CM,83,80,71,55,85,65,83,83,81,84,84,65,61,76,81,80,76,56,69,67,81,83,79,75,85,78,80,80,77,76,63,74,84,82,76,70
1555,178518,R. Nainggolan,32,83,Belgium,Inter,CDM,83,73,75,59,85,75,83,73,68,82,84,71,71,75,85,83,86,74,89,75,89,88,86,84,80,63,84,83,86,90,71,80,80,83,83,81
845,162347,João Moutinho,33,83,Portugal,Wolverhampton Wanderers,CM,83,85,73,70,87,76,82,84,81,86,86,60,53,75,79,85,77,71,77,58,79,71,72,74,87,70,89,71,74,68,56,75,86,83,72,66
117,13038,Puyol,35,83,Spain,FC Barcelona,CB,83,53,37,81,70,44,54,53,50,65,58,63,64,54,81,59,71,76,54,84,40,87,88,49,52,58,,87,85,82,64,46,60,57,86,77
6232,215333,D. Zapata,29,83,Colombia,Atalanta,ST,83,44,88,83,75,77,79,48,62,47,81,72,78,67,82,60,86,79,72,93,64,72,20,86,59,70,82,52,24,22,75,81,59,78,37,83
3524,199564,Sergi Roberto,28,83,Spain,FC Barcelona,RB,83,83,63,72,84,50,78,78,60,78,82,75,79,69,80,74,65,43,92,69,66,68,79,69,83,57,76,75,79,78,77,63,81,78,77,73
1147,170481,E. Garay,32,83,Argentina,Valencia CF,CB,83,62,51,81,73,49,60,55,74,72,69,40,45,51,75,33,80,79,63,91,64,80,82,42,63,71,77,82,83,81,43,60,68,61,82,81
1925,184134,Fernando,32,83,Brazil,Sevilla FC,CDM,83,62,54,74,83,56,71,65,53,78,78,66,66,70,81,62,76,76,82,81,68,85,85,59,74,54,78,83,83,81,66,62,74,73,82,82
2935,193301,A. Lacazette,29,83,France,Arsenal,ST,83,68,83,75,79,79,84,74,74,70,85,77,75,81,84,82,87,76,77,75,78,74,42,84,78,76,81,39,51,32,76,82,75,84,46,75
420,137186,A. Barzagli,37,83,Italy,Juventus,CB,83,40,21,70,63,35,64,50,31,65,63,61,74,52,80,64,54,81,53,83,39,66,90,28,62,60,88,94,88,80,68,34,56,63,88,72
1704,181783,M. Mandžukić,33,83,Croatia,Juventus,ST,83,72,83,90,75,84,75,64,49,67,79,61,73,65,88,55,83,85,79,87,61,88,66,87,74,75,80,59,64,60,68,78,71,75,65,85
4188,203486,T. Hazard,27,83,Belgium,Borussia Dortmund,LM,83,81,76,39,82,80,86,83,81,73,84,86,83,91,82,88,78,60,80,65,77,57,63,81,83,81,78,56,46,48,84,77,81,86,52,67
1709,181872,A. Vidal,33,83,Chile,Inter,CM,83,76,75,81,81,78,76,76,68,80,82,66,65,73,85,77,84,82,86,83,81,93,84,82,81,81,80,80,86,83,65,79,79,78,83,86
9019,230481,Ronaldo Cabrais,28,83,Brazil,Grêmio,RM,83,83,74,64,83,76,85,86,78,82,83,90,87,86,84,71,82,69,88,68,78,62,40,82,83,77,81,24,35,33,88,77,83,84,35,72
5001,208574,F. Kostić,27,83,Serbia,Eintracht Frankfurt,LM,83,89,74,59,75,70,85,79,80,73,83,89,87,76,81,77,84,67,91,77,78,78,63,79,81,64,80,69,72,68,88,76,79,83,68,80
3589,199845,F. Acerbi,32,83,Italy,Lazio,CB,83,25,37,82,75,39,65,62,56,79,72,66,59,32,85,35,75,67,83,86,60,77,86,20,65,72,85,87,87,85,62,50,62,63,86,83
4601,205678,E. Višća,30,83,Bosnia Herzegovina,Medipol Başakşehir FK,RM,83,82,76,45,83,74,79,76,68,71,83,89,87,91,78,90,80,71,90,58,77,47,52,82,79,75,82,55,40,40,88,77,79,82,47,64
4918,208093,Gerard Moreno,28,83,Spain,Villarreal CF,ST,83,78,88,81,79,80,81,75,62,73,82,75,77,74,86,68,81,76,76,75,80,61,42,85,76,75,77,44,41,41,76,84,76,80,46,73
3439,199042,C. Aránguiz,31,83,Chile,Bayer 04 Leverkusen,CDM,83,78,66,53,85,68,79,75,76,84,83,71,51,79,87,86,78,61,85,64,77,81,85,75,81,76,81,86,74,72,60,72,82,81,78,73
1382,176676,Marcelo,32,83,Brazil,Real Madrid,LB,83,84,73,73,81,63,89,84,67,77,91,81,78,83,82,85,81,76,74,76,70,80,80,81,78,59,82,71,77,79,79,73,80,88,76,76
1662,180930,E. Džeko,34,83,Bosnia Herzegovina,Roma,ST,83,63,88,83,77,77,76,65,54,72,85,61,58,56,83,36,86,64,70,81,79,58,50,89,75,67,83,58,28,16,59,84,71,75,46,73
7631,224334,M. Acuña,28,83,Argentina,Sevilla FC,LB,83,87,66,57,81,68,87,88,75,78,87,77,75,82,83,90,82,63,90,80,81,84,78,81,82,76,87,79,82,79,76,74,82,86,78,82
2142,186942,I. Gündoğan,29,83,Germany,Manchester City,CM,83,78,71,50,88,75,84,85,74,85,88,66,66,77,85,77,77,61,69,73,74,70,77,78,86,80,87,75,74,67,66,74,84,84,72,71
484,139869,W. Sneijder,33,83,Netherlands,OGC Nice,CAM,83,86,72,32,84,80,82,88,86,86,85,69,68,75,77,85,86,30,62,57,84,55,45,74,88,68,83,32,41,37,68,78,86,82,38,57
1840,183512,Yuri Berchiche,30,83,Spain,Athletic Club de Bilbao,LB,83,82,61,75,82,59,72,80,55,72,80,82,84,77,80,80,80,85,86,80,76,85,82,62,66,59,78,80,80,77,83,68,76,76,80,83
1022,167664,G. Higuaín,32,83,Argentina,Inter Miami,ST,83,68,87,77,75,85,80,74,62,60,83,62,67,71,84,69,86,78,57,82,80,50,20,90,75,70,85,35,22,18,65,85,71,80,31,69
2385,189242,Coutinho,28,83,Brazil,FC Barcelona,CAM,83,79,76,48,82,78,89,90,86,78,89,77,68,91,82,93,82,58,74,51,86,59,49,81,83,70,77,55,54,47,72,79,82,89,52,59
2447,189575,Muniain,27,83,Spain,Athletic Club de Bilbao,LW,83,79,79,43,84,68,87,82,69,70,86,83,79,92,80,95,70,72,74,49,77,66,45,80,83,61,82,58,55,38,81,75,80,87,51,60
4553,205498,Jorginho,28,83,Italy,Chelsea,CM,83,75,60,56,89,71,79,75,76,88,85,61,50,77,81,72,71,58,85,66,62,79,78,68,87,91,81,64,80,71,55,65,84,80,72,73
2215,187961,Paulinho,31,83,Brazil,Guangzhou Evergrande Taobao FC,CM,83,67,84,85,82,75,82,66,75,76,83,74,71,73,82,85,83,92,92,82,80,81,80,84,83,71,81,80,79,75,72,82,77,82,80,85
3601,199914,Allan,29,83,Brazil,Everton,CDM,83,70,74,59,84,56,82,65,49,79,83,77,69,78,88,86,73,67,92,78,69,90,88,79,80,53,85,87,88,86,73,71,77,82,85,83
3760,200949,Lucas Moura,27,83,Brazil,Tottenham Hotspur,RM,83,73,79,62,74,72,88,71,70,70,85,95,89,93,81,92,80,92,75,58,76,72,50,80,70,74,82,31,43,44,92,78,72,87,43,67
184,41236,Z. Ibrahimović,38,83,Sweden,Milan,ST,83,68,86,80,78,88,80,80,78,73,86,53,52,71,82,39,90,67,54,87,88,84,20,91,84,89,90,28,37,24,52,88,77,79,34,77
1077,169195,Renato Augusto,32,83,Brazil,Beijing Sinobo Guoan FC,CM,83,75,78,65,85,77,82,80,83,83,81,73,70,73,86,73,81,49,85,79,81,67,72,74,83,78,82,75,73,64,71,79,82,81,72,77
74,5740,J. Stam,34,82,Netherlands,Ajax,CB,90,40,24,84,60,,56,,38,34,73,70,69,,81,,65,,70,95,22,86,85,82,,90,,79,83,,69,38,46,66,82,86
13323,245279,Reguilón,23,82,Spain,Tottenham Hotspur,LB,89,79,52,75,79,49,78,70,43,67,81,82,87,76,79,72,62,66,80,65,56,73,79,74,68,42,72,78,79,78,85,55,73,78,78,70
7281,222737,Malcom,21,82,Brazil,FC Barcelona,CAM,89,79,75,57,80,71,85,77,81,73,85,87,82,92,79,84,85,58,74,64,85,53,26,78,81,68,78,21,28,17,84,79,79,85,27,64
27,1183,F. Cannavaro,35,82,Italy,Juventus,CB,89,42,21,87,75,,52,,34,74,71,69,68,,80,,45,,68,79,29,81,93,92,,83,,86,84,,68,34,62,63,87,76
8082,226271,Fabián,24,82,Spain,Napoli,CM,88,72,79,67,81,67,85,75,59,81,85,67,60,71,83,66,75,46,75,67,83,68,77,82,84,67,77,70,78,75,63,78,78,83,74,68
8072,226226,G. Lo Celso,24,82,Argentina,Tottenham Hotspur,CAM,87,78,76,57,83,69,85,82,77,83,86,76,77,83,82,80,82,61,78,70,78,78,70,79,85,65,81,60,70,66,77,77,82,85,65,73
6916,220814,L. Hernández,24,82,France,FC Bayern München,CB,87,78,53,82,79,46,65,59,39,63,79,77,77,70,85,68,62,85,75,77,51,86,83,62,63,42,76,81,84,86,77,54,70,71,83,79
7616,224293,Rúben Neves,23,82,Portugal,Wolverhampton Wanderers,CM,87,78,66,53,86,82,76,85,84,87,82,63,60,65,79,70,86,67,78,67,84,82,77,65,86,76,83,70,75,70,61,75,84,77,71,73
7852,225375,K. Laimer,23,82,Austria,RB Leipzig,CDM,86,78,69,69,84,60,79,70,47,79,79,83,86,76,79,74,72,73,89,69,68,85,84,71,77,54,79,83,79,75,85,68,78,78,80,77
6922,220834,Marco Asensio,24,82,Spain,Real Madrid,CAM,86,81,77,57,81,79,84,83,76,80,86,79,79,79,78,76,86,58,76,61,83,45,45,80,81,62,82,40,42,39,79,80,81,83,43,61
6154,214997,A. Correa,25,82,Argentina,Atlético Madrid,CAM,85,74,82,67,77,79,87,82,65,65,87,86,82,89,82,87,80,49,79,64,83,78,48,83,80,55,76,58,53,44,84,80,75,87,54,70
8047,226110,N. Pépé,25,82,Ivory Coast,Arsenal,LM,85,78,77,57,74,70,85,79,79,67,81,88,90,89,83,79,80,68,79,68,77,43,28,80,80,85,77,36,27,25,89,78,75,84,33,66
8056,226161,Marcos Llorente,25,82,Spain,Atlético Madrid,CM,85,73,74,67,84,62,82,73,58,82,83,79,88,75,84,69,75,66,86,81,74,83,82,82,80,64,82,79,80,74,84,74,79,81,78,82
4139,203263,H. Maguire,27,82,England,Manchester United,CB,85,51,48,86,78,47,71,44,46,82,76,47,53,54,82,55,68,84,76,90,52,84,83,61,71,44,83,81,83,79,50,53,69,71,82,85
5718,212523,Anderson Talisca,26,82,Brazil,Guangzhou Evergrande Taobao FC,CAM,85,75,80,77,84,76,82,86,87,82,84,84,76,87,78,75,84,65,82,75,87,67,52,86,79,75,77,51,55,42,80,82,81,83,54,75
28,1186,Couto,37,82,Portugal,Parma,CB,84,66,36,90,70,,59,,62,69,75,60,59,,47,,70,,60,70,69,70,50,60,,51,,88,86,,59,53,68,63,80,67
150,23330,M. Bordon,33,82,Brazil,FC Schalke 04,CB,84,54,37,86,66,,53,,77,72,71,55,59,,76,,88,,72,90,71,87,79,80,,80,,81,85,,57,60,66,63,83,84
4958,208333,E. Can,26,82,Germany,Borussia Dortmund,CB,84,71,76,81,84,71,82,77,64,83,79,66,81,73,81,75,85,87,88,86,81,88,84,78,79,60,83,82,86,80,74,78,79,80,83,87
3804,201153,Morata,27,82,Spain,Juventus,ST,83,73,83,86,78,80,83,76,44,51,83,75,84,72,80,63,80,84,77,80,72,69,24,85,76,75,79,37,14,20,80,80,71,81,31,77
4593,205632,L. Ocampos,25,82,Argentina,Sevilla FC,ST,83,79,85,77,80,81,84,80,65,72,84,80,83,79,85,64,84,80,91,81,79,82,72,84,79,79,82,58,61,55,82,83,78,83,63,84
6562,217940,D. Djené,28,82,Togo,Getafe CF,CB,83,60,29,77,75,22,50,51,48,69,71,73,71,71,82,69,67,79,74,80,27,88,85,49,42,41,73,84,86,83,72,37,62,61,84,80
4866,207862,M. Ginter,26,82,Germany,Borussia Mönchengladbach,CB,83,68,55,84,78,53,61,44,42,71,74,54,66,55,85,49,74,69,74,83,46,72,84,55,69,67,71,86,86,77,61,58,70,65,85,78
3830,201305,Gabriel Paulista,29,82,Brazil,Valencia CF,CB,83,67,42,81,80,48,60,57,46,74,69,69,68,66,81,65,61,83,80,82,50,87,87,51,65,51,69,83,83,82,68,49,71,65,84,83
1932,184200,M. Arnautović,31,82,Austria,Austria,ST,82,78,81,79,82,79,78,79,72,74,83,77,82,72,78,80,85,76,76,85,82,77,38,79,81,79,82,40,42,39,80,82,79,79,44,81
1895,183907,J. Boateng,31,82,Germany,FC Bayern München,CB,82,69,34,84,77,52,64,53,31,84,70,64,75,55,82,52,78,73,60,88,58,82,77,47,73,46,84,80,87,84,70,50,72,65,82,79
2978,193525,Mário Fernandes,29,82,Russia,PFC CSKA Moscow,RWB,82,76,56,72,82,58,80,66,39,71,79,79,84,79,80,61,71,84,87,75,60,77,76,76,73,53,76,80,81,83,82,61,74,79,79,79
3402,198710,J. Rodríguez,28,82,Colombia,Everton,CAM,82,90,84,62,83,90,86,89,86,81,90,55,52,78,84,76,86,46,65,64,92,60,55,80,83,81,87,52,41,44,53,86,85,86,50,63
3341,198329,Rodrigo,29,82,Spain,Leeds United,ST,82,77,80,80,81,77,81,83,67,58,82,90,91,79,83,74,82,77,75,69,76,68,31,83,81,77,80,44,41,40,91,79,76,81,44,71
1061,168651,I. Rakitić,32,82,Croatia,Sevilla FC,CM,82,84,77,59,85,81,78,88,82,86,82,62,60,69,80,62,84,34,75,71,76,67,79,79,84,82,80,76,77,72,61,79,85,78,75,69
5342,210665,M. Halstenberg,28,82,Germany,RB Leipzig,LB,82,82,59,81,77,60,71,77,75,64,75,67,66,65,80,61,79,85,83,79,69,77,78,63,64,73,74,82,82,76,66,66,73,72,81,80
568,146530,Dani Alves,35,82,Brazil,Paris Saint-Germain,CAM,82,85,61,71,83,68,84,80,74,81,86,75,77,84,80,87,86,80,74,55,78,82,79,78,79,70,83,72,78,80,76,71,82,85,76,66
4970,208418,Y. Carrasco,26,82,Belgium,Atlético Madrid,LM,82,76,81,53,76,68,86,81,79,73,82,90,91,90,80,71,85,71,76,59,82,64,18,79,69,81,77,41,39,26,91,81,75,84,36,65
8962,230375,Josué Chiamulera,28,82,Brazil,Grêmio,CB,82,40,38,83,74,44,56,45,49,61,70,80,76,76,85,57,53,73,77,76,41,88,84,38,42,56,71,85,87,82,78,43,56,64,85,79
736,157481,Raúl Albiol,34,82,Spain,Villarreal CF,CB,82,38,27,77,74,31,59,53,45,72,71,48,43,53,82,55,65,76,56,81,53,81,86,30,64,37,75,89,87,85,45,41,62,63,86,75
6410,216354,A. Kramarić,29,82,Croatia,TSG 1899 Hoffenheim,ST,82,76,86,69,79,85,86,79,74,53,85,76,67,83,83,84,83,69,76,67,85,73,21,85,72,90,82,35,20,26,71,85,73,85,30,71
1380,176635,M. Özil,31,82,Germany,Arsenal,CAM,82,81,68,51,88,78,82,84,75,82,88,67,61,75,81,71,70,45,62,56,67,44,24,80,90,67,83,24,16,19,64,69,85,83,24,55
3750,200888,Danilo Pereira,28,82,Portugal,Portugal,CDM,82,58,57,76,83,55,75,54,53,80,78,63,68,57,75,60,74,62,84,89,68,82,81,71,72,57,84,83,83,68,66,63,72,73,80,85
570,146562,Santi Cazorla,35,82,Spain,Spain,CM,82,85,78,60,86,72,85,87,78,84,87,64,61,76,81,90,77,50,60,59,80,67,73,80,86,90,88,68,65,58,62,79,85,85,66,60
2022,185103,A. Kolarov,34,82,Serbia,Inter,LB,82,90,60,80,78,64,80,85,88,77,77,69,67,61,83,58,95,79,79,73,86,86,82,78,77,80,90,82,83,81,68,74,81,76,82,77
1644,180403,Willian,31,82,Brazil,Arsenal,RW,82,76,77,31,80,59,88,83,84,77,82,86,78,86,80,79,84,32,77,59,81,45,55,79,83,79,79,43,57,51,82,79,80,85,49,59
2100,186561,A. Ramsey,29,82,Wales,Juventus,CM,82,75,75,58,84,79,81,70,66,80,83,67,68,72,81,74,81,66,89,66,74,74,69,84,81,75,81,68,72,68,68,77,79,80,68,73
7466,223697,R. Gosens,25,82,Germany,Atalanta,LM,82,82,77,78,80,71,78,70,58,77,79,84,82,70,84,66,76,91,86,76,68,80,77,84,77,50,75,75,78,79,83,74,78,77,77,80
2544,190286,Canales,29,82,Spain,Real Betis,CAM,82,79,82,46,83,63,83,82,81,82,84,78,78,82,83,76,78,39,76,68,81,63,77,85,87,74,79,60,71,55,78,80,83,83,65,68
192,45197,Xabi Alonso,34,82,Spain,FC Bayern München,CM,82,79,56,72,89,71,75,82,84,91,81,32,33,53,81,66,86,46,62,69,85,77,84,77,87,80,83,62,74,70,33,71,86,74,72,68
232,50752,L. King,30,82,England,Tottenham Hotspur,CB,82,19,34,86,65,33,53,17,28,63,68,65,69,59,78,47,41,83,34,86,26,85,84,35,56,32,,81,86,76,67,34,49,59,83,73
1390,176769,Jonas,34,82,Brazil,SL Benfica,CF,82,70,87,81,75,83,82,85,77,75,87,63,62,77,84,69,80,69,66,62,84,61,34,85,83,84,87,31,36,25,62,85,76,82,38,63
478,139720,V. Kompany,33,82,Belgium,RSC Anderlecht,CB,82,61,45,82,74,46,63,61,52,75,70,48,51,50,77,41,73,58,63,87,55,80,82,41,64,63,81,85,84,80,50,53,68,63,83,78
1446,177457,L. Bender,31,82,Germany,Bayer 04 Leverkusen,RB,82,71,58,78,78,57,71,49,47,74,76,62,59,64,85,64,74,75,77,76,71,78,85,69,75,52,83,87,84,83,60,64,72,72,84,77
5042,208808,Q. Promes,28,82,Netherlands,Ajax,CAM,82,81,81,66,79,69,83,75,76,73,81,87,90,85,83,78,82,79,82,64,79,72,38,82,82,74,81,46,48,40,89,80,79,82,46,71
2642,190815,D. Blind,30,82,Netherlands,Ajax,CB,82,80,62,76,84,66,75,84,62,83,84,59,49,74,86,72,74,73,77,72,66,70,87,66,78,54,84,83,84,80,54,65,81,78,83,73
1438,177388,D. Payet,33,82,France,Olympique de Marseille,LW,82,85,78,59,84,77,86,85,82,81,85,72,69,83,80,80,80,42,70,71,80,57,37,81,85,82,80,32,39,39,70,79,84,85,39,67
33,1256,C. Seedorf,37,82,Netherlands,Botafogo,CAM,82,84,72,48,86,82,84,80,79,86,88,63,64,66,77,75,84,73,72,80,86,40,53,74,86,79,,40,58,50,64,78,85,83,50,70
1688,181458,I. Perišić,31,82,Croatia,Inter,LM,82,83,80,80,79,81,79,73,75,74,79,78,79,76,79,73,84,85,81,76,80,65,69,85,76,76,80,64,52,54,79,81,78,78,62,76
260,53302,D. De Rossi,35,82,Italy,Boca Juniors,CB,82,57,50,81,81,74,64,62,71,80,77,60,58,62,80,72,81,74,70,78,72,83,87,55,73,80,92,90,82,80,59,64,73,69,85,77
4087,202857,K. Bellarabi,30,82,Germany,Bayer 04 Leverkusen,RM,82,78,74,48,78,73,86,71,58,59,84,91,90,86,82,78,84,75,74,70,79,72,38,78,78,57,78,32,30,33,90,76,74,85,34,72
4464,204970,F. Thauvin,27,82,France,Olympique de Marseille,RW,82,82,79,72,83,75,82,84,72,76,84,84,80,85,83,70,83,78,81,66,80,56,42,83,80,78,81,46,29,31,82,80,81,82,41,68
12361,242444,João Félix,20,81,Portugal,Atlético Madrid,CAM,93,73,82,69,77,80,83,81,64,67,83,79,83,85,83,80,82,79,75,64,81,69,38,84,78,68,82,30,42,35,81,81,74,83,40,69
11329,239231,Cucurella,21,81,Spain,Getafe CF,LM,89,80,67,57,81,55,79,78,48,79,80,80,81,78,82,84,73,77,88,66,65,76,73,79,78,47,74,71,78,77,81,67,78,80,73,74
10112,234906,H. Aouar,22,81,France,Olympique Lyonnais,CAM,89,68,76,59,85,68,85,80,70,80,85,78,74,82,80,83,73,64,76,67,75,67,69,78,84,71,82,68,68,58,76,75,80,84,66,69
9975,234396,A. Davies,19,81,Canada,FC Bayern München,LB,89,73,67,64,77,59,85,67,44,58,79,96,96,85,79,82,71,77,79,74,63,77,76,75,68,60,74,77,77,79,96,67,69,83,76,76
